block_group,slide_group,routing_decision,raw_similarity,routing_uncertain,notes
set_05,set_32,constellation,0.17568170452187212,False,constellation L2 on 55-element signature
set_05,set_33,constellation,0.4112606820427149,False,constellation L2 on 55-element signature
set_05,set_34,shape,0.15915039116267335,False,Phase 2 set-to-set Hungarian shape similarity
set_05,set_35,shape,0.13875599657650445,False,Phase 2 set-to-set Hungarian shape similarity
set_05,set_36,constellation,0.5596252840855607,False,constellation L2 on 55-element signature
set_05,set_37,constellation,0.2729820250301103,False,constellation L2 on 55-element signature
set_05,set_38,constellation,0.4073156094040533,False,constellation L2 on 55-element signature
set_05,set_39,constellation,0.6281429726081708,False,constellation L2 on 55-element signature
set_05,set_40,shape_partial,0.08831135257373864,True,shape_partial penalty=0.5
set_05,set_41,shape,0.1604202636016047,False,Phase 2 set-to-set Hungarian shape similarity
set_05,set_42,constellation,0.3279070684057001,False,constellation L2 on 55-element signature
set_05,set_43,constellation,0.3271972228980058,False,constellation L2 on 55-element signature
set_05,set_44,shape_partial,0.09008529450561928,True,shape_partial penalty=0.5
set_05,set_45,shape,0.1667453919114443,False,Phase 2 set-to-set Hungarian shape similarity
set_05,set_46,constellation,0.1811427351757435,False,constellation L2 on 55-element signature
set_05,set_47,shape,0.18331375087996807,False,Phase 2 set-to-set Hungarian shape similarity
set_06,set_02,shape_partial,0.035979244973821475,True,shape_partial penalty=0.5
set_06,set_03,shape_partial,0.03311272942504513,True,shape_partial penalty=0.5
set_06,set_04,shape_partial,0.032673588966772436,True,shape_partial penalty=0.5
set_06,set_05,shape_partial,0.03463251334444054,True,shape_partial penalty=0.5
set_06,set_06,shape,0.07550586954492125,False,Phase 2 set-to-set Hungarian shape similarity
set_06,set_07,shape_partial,0.03571530312635514,True,shape_partial penalty=0.5
set_06,set_08,shape_partial,0.035000318924925646,True,shape_partial penalty=0.5
set_06,set_09,shape_partial,0.033233334870069985,True,shape_partial penalty=0.5
set_06,set_10,shape_partial,0.03360974759526174,True,shape_partial penalty=0.5
set_06,set_11,shape_partial,0.031604723741322616,True,shape_partial penalty=0.5
set_06,set_12,shape_partial,0.03162336370472391,True,shape_partial penalty=0.5
set_06,set_13,shape_partial,0.032389558719931294,True,shape_partial penalty=0.5
set_06,set_14,shape_partial,0.031171168143923636,True,shape_partial penalty=0.5
set_06,set_15,shape_partial,0.0341387161801197,True,shape_partial penalty=0.5
set_06,set_16,shape,0.07384791611998412,False,Phase 2 set-to-set Hungarian shape similarity
set_06,set_17,shape_partial,0.034103110992660834,True,shape_partial penalty=0.5
set_06,set_18,shape_partial,0.034400519261261975,True,shape_partial penalty=0.5
set_06,set_19,shape_partial,0.030901049398478177,True,shape_partial penalty=0.5
set_06,set_20,shape,0.07017721564734722,False,Phase 2 set-to-set Hungarian shape similarity
set_06,set_21,shape_partial,0.03525544105259018,True,shape_partial penalty=0.5
set_06,set_22,shape_partial,0.035063468665831765,True,shape_partial penalty=0.5
set_06,set_23,shape_partial,0.03364715612433176,True,shape_partial penalty=0.5
set_06,set_24,shape,0.06287456391956601,False,Phase 2 set-to-set Hungarian shape similarity
set_06,set_25,shape_partial,0.03379903941665183,True,shape_partial penalty=0.5
set_06,set_26,shape_partial,0.034049006080120986,True,shape_partial penalty=0.5
set_06,set_27,shape,0.06699831505723089,False,Phase 2 set-to-set Hungarian shape similarity
set_06,set_28,shape_partial,0.03407822263902802,True,shape_partial penalty=0.5
set_06,set_29,shape_partial,0.034552143743258185,True,shape_partial penalty=0.5
set_06,set_30,shape_partial,0.0332638308191501,True,shape_partial penalty=0.5
set_06,set_31,shape_partial,0.03412103619524993,True,shape_partial penalty=0.5
set_06,set_32,shape_partial,0.034109713663608876,True,shape_partial penalty=0.5
set_06,set_33,shape_partial,0.034315616230993364,True,shape_partial penalty=0.5
set_06,set_34,shape_partial,0.03451440429979173,True,shape_partial penalty=0.5
set_06,set_35,shape_partial,0.03438155788599656,True,shape_partial penalty=0.5
set_06,set_36,shape_partial,0.032655420851628106,True,shape_partial penalty=0.5
set_06,set_37,shape_partial,0.034354266903493455,True,shape_partial penalty=0.5
set_06,set_38,shape_partial,0.033588008292881166,True,shape_partial penalty=0.5
set_06,set_39,shape_partial,0.033216388414362266,True,shape_partial penalty=0.5
set_06,set_40,shape,0.06678295371419392,False,Phase 2 set-to-set Hungarian shape similarity
set_06,set_41,shape_partial,0.033573580465416024,True,shape_partial penalty=0.5
set_06,set_42,shape_partial,0.03427709224469316,True,shape_partial penalty=0.5
set_06,set_43,shape_partial,0.031065213832933453,True,shape_partial penalty=0.5
set_06,set_44,shape,0.06869422373292784,False,Phase 2 set-to-set Hungarian shape similarity
set_06,set_45,shape_partial,0.03431180825433971,True,shape_partial penalty=0.5
set_06,set_46,shape_partial,0.03380987466889215,True,shape_partial penalty=0.5
set_06,set_47,shape_partial,0.034346562274922866,True,shape_partial penalty=0.5
set_07,set_02,shape,0.18295249706265093,False,Phase 2 set-to-set Hungarian shape similarity
set_07,set_03,constellation,0.4375793085974034,False,constellation L2 on 55-element signature
set_07,set_04,shape,0.1623268778242487,False,Phase 2 set-to-set Hungarian shape similarity
set_07,set_05,shape,0.1766076179324427,False,Phase 2 set-to-set Hungarian shape similarity
set_07,set_06,shape_partial,0.11137677547347777,True,shape_partial penalty=0.5
set_07,set_07,shape,0.15192073176033474,False,Phase 2 set-to-set Hungarian shape similarity
set_07,set_08,shape,0.15688779172650016,False,Phase 2 set-to-set Hungarian shape similarity
set_07,set_09,shape,0.16320504829399637,False,Phase 2 set-to-set Hungarian shape similarity
set_07,set_10,constellation,0.39656896124858804,False,constellation L2 on 55-element signature
set_07,set_11,constellation,0.37338024763705513,False,constellation L2 on 55-element signature
set_07,set_12,constellation,0.3730438141127004,False,constellation L2 on 55-element signature
set_07,set_13,constellation,0.4387642986310056,False,constellation L2 on 55-element signature
set_07,set_14,constellation,0.4296296979950833,False,constellation L2 on 55-element signature
set_07,set_15,shape,0.15893710313064902,False,Phase 2 set-to-set Hungarian shape similarity
set_07,set_16,shape_partial,0.1291884155223002,True,shape_partial penalty=0.5
set_07,set_17,constellation,0.2301650613484146,False,constellation L2 on 55-element signature
set_07,set_18,shape,0.16898767506124368,False,Phase 2 set-to-set Hungarian shape similarity
set_07,set_19,constellation,0.4551797368571592,False,constellation L2 on 55-element signature
set_07,set_20,shape_partial,0.21200528403320515,True,shape_partial penalty=0.5
set_07,set_21,shape,0.17575065684109092,False,Phase 2 set-to-set Hungarian shape similarity
set_07,set_22,shape,0.14305155757787832,False,Phase 2 set-to-set Hungarian shape similarity
set_07,set_23,shape,0.19050343236977485,False,Phase 2 set-to-set Hungarian shape similarity
set_07,set_24,shape_partial,0.07673749184395873,True,shape_partial penalty=0.5
set_07,set_25,shape,0.14947858853303136,False,Phase 2 set-to-set Hungarian shape similarity
set_07,set_26,constellation,0.40978199893733286,False,constellation L2 on 55-element signature
set_07,set_27,shape_partial,0.14742094897603195,True,shape_partial penalty=0.5
set_07,set_28,shape,0.18949932648195708,False,Phase 2 set-to-set Hungarian shape similarity
set_07,set_29,shape,0.16269816462800507,False,Phase 2 set-to-set Hungarian shape similarity
set_07,set_30,shape,0.1410923107244657,False,Phase 2 set-to-set Hungarian shape similarity
set_07,set_31,constellation,0.4103721127209204,False,constellation L2 on 55-element signature
set_07,set_32,constellation,0.1601647346327697,False,constellation L2 on 55-element signature
set_07,set_33,constellation,0.30305140705388445,False,constellation L2 on 55-element signature
set_07,set_34,shape,0.1632769313758376,False,Phase 2 set-to-set Hungarian shape similarity
set_07,set_35,shape,0.1671412142877273,False,Phase 2 set-to-set Hungarian shape similarity
set_07,set_36,constellation,0.4131709555893443,False,constellation L2 on 55-element signature
set_07,set_37,constellation,0.22873234294067316,False,constellation L2 on 55-element signature
set_07,set_38,constellation,0.3029531872498443,False,constellation L2 on 55-element signature
set_07,set_39,constellation,0.41835729184143267,False,constellation L2 on 55-element signature
set_07,set_40,shape_partial,0.15963349318375175,True,shape_partial penalty=0.5
set_07,set_41,shape,0.17271292470325153,False,Phase 2 set-to-set Hungarian shape similarity
set_07,set_42,constellation,0.4569693187949564,False,constellation L2 on 55-element signature
set_07,set_43,constellation,0.4351739614057983,False,constellation L2 on 55-element signature
set_07,set_44,shape_partial,0.17536251955183865,True,shape_partial penalty=0.5
set_07,set_45,shape,0.17064662650299212,False,Phase 2 set-to-set Hungarian shape similarity
set_07,set_46,constellation,0.16505248594628585,False,constellation L2 on 55-element signature
set_07,set_47,shape,0.18198128854624263,False,Phase 2 set-to-set Hungarian shape similarity
set_08,set_02,shape,0.16775973032861216,False,Phase 2 set-to-set Hungarian shape similarity
set_08,set_03,constellation,0.4372099445022182,False,constellation L2 on 55-element signature
set_08,set_04,shape,0.16860468436757767,False,Phase 2 set-to-set Hungarian shape similarity
set_08,set_05,shape,0.16900031523572978,False,Phase 2 set-to-set Hungarian shape similarity
set_08,set_06,shape_partial,0.09334089750607594,True,shape_partial penalty=0.5
set_08,set_07,shape,0.15163686145261637,False,Phase 2 set-to-set Hungarian shape similarity
set_08,set_08,shape,0.15907111387118145,False,Phase 2 set-to-set Hungarian shape similarity
set_08,set_09,shape,0.1618688591959157,False,Phase 2 set-to-set Hungarian shape similarity
set_08,set_10,constellation,0.39242330427754246,False,constellation L2 on 55-element signature
set_08,set_11,constellation,0.36992404860619066,False,constellation L2 on 55-element signature
set_08,set_12,constellation,0.3695817633090317,False,constellation L2 on 55-element signature
set_08,set_13,constellation,0.42872385125905177,False,constellation L2 on 55-element signature
set_08,set_14,constellation,0.421442376158312,False,constellation L2 on 55-element signature
set_08,set_15,shape,0.16269864650060636,False,Phase 2 set-to-set Hungarian shape similarity
set_08,set_16,shape_partial,0.21178243931524424,True,shape_partial penalty=0.5
set_08,set_17,constellation,0.22946349403704294,False,constellation L2 on 55-element signature
set_08,set_18,shape,0.16644559307270754,False,Phase 2 set-to-set Hungarian shape similarity
set_08,set_19,constellation,0.43997354922391474,False,constellation L2 on 55-element signature
set_08,set_20,shape_partial,0.13696583023452616,True,shape_partial penalty=0.5
set_08,set_21,shape,0.17791872582235338,False,Phase 2 set-to-set Hungarian shape similarity
set_08,set_22,shape,0.15164736094223533,False,Phase 2 set-to-set Hungarian shape similarity
set_08,set_23,shape,0.18196416649958336,False,Phase 2 set-to-set Hungarian shape similarity
set_08,set_24,shape_partial,0.07657612790460801,True,shape_partial penalty=0.5
set_08,set_25,shape,0.14435981533572148,False,Phase 2 set-to-set Hungarian shape similarity
set_08,set_26,constellation,0.4057284290656844,False,constellation L2 on 55-element signature
